business_id,transaction_id,transaction_type,trans_time_stamp,metro_location,trans_amount,avail_credit,account_age,income_bracket,industry,is_fraud
349,8540,Utilities,2023-03-08 20:28:03.614698,Dallas–Fort Worth–Arlington,582.3561294978304,21553.709257825478,369,0 - 250k,Construction,0
971,7918,Client Expenses,2023-05-28 20:28:03.613739,New York–Newark–Jersey City,1700.980377165127,7658.44577397633,606,less than 0,Construction,1
325,683,Utilities,2023-12-02 20:28:03.600881,Chicago–Naperville–Elgin,91.05099959948704,5182.040424952794,512,1m +,Wholesale Trade,0
251,2048,Client Expenses,2023-09-16 20:28:03.603313,New York–Newark–Jersey City,97.77645901037046,38655.07476009688,205,250k - 500k,"Finance, Insurance, And Real Estate",0
383,8488,Payroll,2024-05-13 20:28:03.614619,Austin–Round Rock–San Marcos,1015.6897064483172,46437.864394411816,360,0 - 250k,Construction,0
236,2445,Payroll,2024-05-03 20:28:03.604059,Los Angeles–Long Beach–Anaheim,1272.8900556975143,8882.968407089342,422,250k - 500k,Wholesale Trade,0
117,911,Rent,2024-08-08 20:28:03.601311,Chicago–Naperville–Elgin,1742.5752714693326,45172.16451077678,640,less than 0,Wholesale Trade,0
268,4521,Office Supplies,2023-08-13 20:28:03.607983,Dallas–Fort Worth–Arlington,1803.326829353516,15832.984732211708,152,less than 0,Wholesale Trade,0
656,4985,Payroll,2022-11-25 20:28:03.608777,Austin–Round Rock–San Marcos,1484.9921210147297,17594.75057921024,35,250k - 500k,Construction,0
530,7665,Client Expenses,2024-09-21 20:28:03.613353,Dallas–Fort Worth–Arlington,1046.3057986278718,7331.663683616002,353,500k - 1m,"Agriculture, Forestry, And Fishing",0
381,7792,Vendor Payments,2024-03-17 20:28:03.613547,Chicago–Naperville–Elgin,1365.5248239519422,37408.68964890443,191,less than 0,Construction,0
26,1204,Payroll,2023-11-01 20:28:03.601806,New York–Newark–Jersey City,610.8750045897144,6752.3999363901685,432,250k - 500k,Wholesale Trade,0
294,5077,Rent,2024-04-17 20:28:03.608933,Austin–Round Rock–San Marcos,761.4417624709504,24527.165428581837,610,500k - 1m,"Agriculture, Forestry, And Fishing",0
627,8729,Client Expenses,2023-07-25 20:28:03.614996,Dallas–Fort Worth–Arlington,1524.19134116344,15258.458590477452,240,less than 0,Construction,0
477,1998,Utilities,2023-04-11 20:28:03.603195,Los Angeles–Long Beach–Anaheim,1364.251911013068,38034.734654312015,159,1m +,"Finance, Insurance, And Real Estate",0
322,5506,Utilities,2024-05-18 20:28:03.609687,Los Angeles–Long Beach–Anaheim,1123.3459176778888,48781.00578579321,322,less than 0,"Agriculture, Forestry, And Fishing",0
665,2928,Utilities,2023-02-09 20:28:03.604878,New York–Newark–Jersey City,1006.3881451579315,16774.83601654642,380,less than 0,"Finance, Insurance, And Real Estate",1
178,3970,Vendor Payments,2024-02-08 20:28:03.606768,Dallas–Fort Worth–Arlington,1663.30697522039,32408.426923718725,727,0 - 250k,"Agriculture, Forestry, And Fishing",0
995,2013,Rent,2023-05-10 20:28:03.603248,Los Angeles–Long Beach–Anaheim,118.2788240311845,28875.582139859795,580,250k - 500k,"Finance, Insurance, And Real Estate",1
200,1964,Utilities,2023-08-05 20:28:03.603138,Chicago–Naperville–Elgin,930.0040260533857,44722.63094117456,586,1m +,"Agriculture, Forestry, And Fishing",0
715,9586,Vendor Payments,2022-11-21 20:28:03.616323,Austin–Round Rock–San Marcos,82.86249225687325,21007.994868332404,24,250k - 500k,"Agriculture, Forestry, And Fishing",0
156,7110,Office Supplies,2024-08-13 20:28:03.612493,Austin–Round Rock–San Marcos,1429.554730869246,11511.414172233808,512,500k - 1m,Construction,0
182,7946,Office Supplies,2022-10-21 20:28:03.613782,Chicago–Naperville–Elgin,1254.5055760374016,5019.333849680818,644,1m +,"Finance, Insurance, And Real Estate",1
29,853,Utilities,2023-06-03 20:28:03.601214,Chicago–Naperville–Elgin,1010.0575427739986,3945.601562106643,354,less than 0,Wholesale Trade,0
511,319,Office Supplies,2024-08-01 20:28:03.600177,New York–Newark–Jersey City,210.93126001883888,35898.55533705144,440,less than 0,Wholesale Trade,1
896,692,Vendor Payments,2023-12-28 20:28:03.600899,Austin–Round Rock–San Marcos,1424.217865707151,38044.12170155892,302,less than 0,Retail Trade,0
12,3711,Rent,2022-11-09 20:28:03.606332,Dallas–Fort Worth–Arlington,674.7616909662912,9125.854492296638,48,less than 0,"Finance, Insurance, And Real Estate",1
776,2809,Utilities,2024-09-29 20:28:03.604672,Los Angeles–Long Beach–Anaheim,394.1270680886324,16124.912034748219,262,0 - 250k,"Agriculture, Forestry, And Fishing",0
582,9298,Utilities,2023-02-21 20:28:03.615869,New York–Newark–Jersey City,260.1631437836351,37292.12703687767,520,less than 0,"Agriculture, Forestry, And Fishing",1
802,674,Client Expenses,2023-08-31 20:28:03.600863,Dallas–Fort Worth–Arlington,89.73492612519962,26979.73268675144,702,1m +,"Finance, Insurance, And Real Estate",1
163,411,Rent,2023-05-04 20:28:03.600354,New York–Newark–Jersey City,1669.1914772566342,41383.25835262438,513,1m +,"Finance, Insurance, And Real Estate",1
604,5259,Payroll,2023-02-12 20:28:03.609265,Chicago–Naperville–Elgin,1902.5295979674515,15500.448228496045,156,500k - 1m,Wholesale Trade,0
317,5671,Rent,2024-04-01 20:28:03.610116,Dallas–Fort Worth–Arlington,1105.7336390737564,14953.154910834015,132,0 - 250k,Wholesale Trade,0
774,2645,Utilities,2024-03-19 20:28:03.604397,New York–Newark–Jersey City,804.5492480471293,38055.42208773109,485,250k - 500k,Wholesale Trade,0
273,5461,Utilities,2024-07-20 20:28:03.609611,Dallas–Fort Worth–Arlington,1870.29341250074,31762.304672699476,139,500k - 1m,"Finance, Insurance, And Real Estate",0
398,823,Office Supplies,2023-06-15 20:28:03.601164,Los Angeles–Long Beach–Anaheim,658.2068620955373,47656.64296537561,12,less than 0,Construction,0
687,5364,Vendor Payments,2023-06-20 20:28:03.609445,Los Angeles–Long Beach–Anaheim,336.0354765940523,40315.24902915968,55,500k - 1m,Construction,0
889,8884,Office Supplies,2024-05-05 20:28:03.615234,Austin–Round Rock–San Marcos,1808.6146101409402,12866.498009171784,173,less than 0,"Finance, Insurance, And Real Estate",0
821,4337,Office Supplies,2023-12-03 20:28:03.607651,Los Angeles–Long Beach–Anaheim,1146.4853296960116,36334.22926569169,709,1m +,Retail Trade,1
708,9069,Client Expenses,2023-04-08 20:28:03.615516,Chicago–Naperville–Elgin,614.0838509798507,26793.384137486682,358,500k - 1m,Retail Trade,0
425,6387,Payroll,2024-09-23 20:28:03.611343,Los Angeles–Long Beach–Anaheim,556.8889801108668,10567.880542945857,529,1m +,"Finance, Insurance, And Real Estate",1
932,2644,Vendor Payments,2023-12-28 20:28:03.604396,Dallas–Fort Worth–Arlington,546.5249091111646,38972.17065781209,241,less than 0,Wholesale Trade,0
744,1886,Vendor Payments,2023-10-19 20:28:03.603005,Dallas–Fort Worth–Arlington,1192.2627762565237,36848.27773636444,62,500k - 1m,Wholesale Trade,0
84,9775,Rent,2024-08-01 20:28:03.616612,Chicago–Naperville–Elgin,93.58370153588247,3584.544014771596,222,less than 0,Retail Trade,0
881,7945,Vendor Payments,2023-12-01 20:28:03.613780,Chicago–Naperville–Elgin,1706.3247841003963,31080.3298793541,46,0 - 250k,Construction,0
104,8064,Rent,2024-07-03 20:28:03.613970,Austin–Round Rock–San Marcos,1411.2052324573995,43234.301318923186,581,0 - 250k,Retail Trade,0
