business_id,transaction_id,trans_time_stamp,trans_amount,avail_credit,account_age,is_Client Expenses,is_Office Supplies,is_Payroll,is_Rent,is_Utilities,is_Vendor Payments,"is_Agriculture, Forestry, And Fishing",is_Construction,"is_Finance, Insurance, And Real Estate",is_Retail Trade,is_Wholesale Trade,metro_encoded,income_encoded,is_fraud
349,8540,2023-03-08 20:28:03.614698,582.36,21553.71,369,0,0,0,0,1,0,0,1,0,0,0,1906,0,0
971,7918,2023-05-28 20:28:03.613739,1700.98,7658.45,606,1,0,0,0,0,0,0,1,0,0,0,1688,1,1
325,683,2023-12-02 20:28:03.600881,91.05,5182.04,512,0,0,0,0,1,0,0,0,0,0,1,1873,2,0
251,2048,2023-09-16 20:28:03.603313,97.78,38655.07,205,1,0,0,0,0,0,0,0,1,0,0,1688,3,0
383,8488,2024-05-13 20:28:03.614619,1015.69,46437.86,360,0,0,1,0,0,0,0,1,0,0,0,1940,0,0
236,2445,2024-05-03 20:28:03.604059,1272.89,8882.97,422,0,0,1,0,0,0,0,0,0,0,1,1964,3,0
117,911,2024-08-08 20:28:03.601311,1742.58,45172.16,640,0,0,0,1,0,0,0,0,0,0,1,1873,1,0
268,4521,2023-08-13 20:28:03.607983,1803.33,15832.98,152,0,1,0,0,0,0,0,0,0,0,1,1906,1,0
656,4985,2022-11-25 20:28:03.608777,1484.99,17594.75,35,0,0,1,0,0,0,0,1,0,0,0,1940,3,0
530,7665,2024-09-21 20:28:03.613353,1046.31,7331.66,353,1,0,0,0,0,0,1,0,0,0,0,1906,4,0
381,7792,2024-03-17 20:28:03.613547,1365.52,37408.69,191,0,0,0,0,0,1,0,1,0,0,0,1873,1,0
26,1204,2023-11-01 20:28:03.601806,610.88,6752.4,432,0,0,1,0,0,0,0,0,0,0,1,1688,3,0
294,5077,2024-04-17 20:28:03.608933,761.44,24527.17,610,0,0,0,1,0,0,1,0,0,0,0,1940,4,0
627,8729,2023-07-25 20:28:03.614996,1524.19,15258.46,240,1,0,0,0,0,0,0,1,0,0,0,1906,1,0
477,1998,2023-04-11 20:28:03.603195,1364.25,38034.73,159,0,0,0,0,1,0,0,0,1,0,0,1964,2,0
322,5506,2024-05-18 20:28:03.609687,1123.35,48781.01,322,0,0,0,0,1,0,1,0,0,0,0,1964,1,0
665,2928,2023-02-09 20:28:03.604878,1006.39,16774.84,380,0,0,0,0,1,0,0,0,1,0,0,1688,1,1
178,3970,2024-02-08 20:28:03.606768,1663.31,32408.43,727,0,0,0,0,0,1,1,0,0,0,0,1906,0,0
995,2013,2023-05-10 20:28:03.603248,118.28,28875.58,580,0,0,0,1,0,0,0,0,1,0,0,1964,3,1
200,1964,2023-08-05 20:28:03.603138,930.0,44722.63,586,0,0,0,0,1,0,1,0,0,0,0,1873,2,0
715,9586,2022-11-21 20:28:03.616323,82.86,21007.99,24,0,0,0,0,0,1,1,0,0,0,0,1940,3,0
156,7110,2024-08-13 20:28:03.612493,1429.55,11511.41,512,0,1,0,0,0,0,0,1,0,0,0,1940,4,0
182,7946,2022-10-21 20:28:03.613782,1254.51,5019.33,644,0,1,0,0,0,0,0,0,1,0,0,1873,2,1
29,853,2023-06-03 20:28:03.601214,1010.06,3945.6,354,0,0,0,0,1,0,0,0,0,0,1,1873,1,0
511,319,2024-08-01 20:28:03.600177,210.93,35898.56,440,0,1,0,0,0,0,0,0,0,0,1,1688,1,1
896,692,2023-12-28 20:28:03.600899,1424.22,38044.12,302,0,0,0,0,0,1,0,0,0,1,0,1940,1,0
12,3711,2022-11-09 20:28:03.606332,674.76,9125.85,48,0,0,0,1,0,0,0,0,1,0,0,1906,1,1
776,2809,2024-09-29 20:28:03.604672,394.13,16124.91,262,0,0,0,0,1,0,1,0,0,0,0,1964,0,0
